country,description,designation,points,price,province,region,title,variety,winery
Spain,"This could be the best Astrales to date. Alluring scents of plum, blueberry and spice are backed by balsam dust and briary pipe-tobacco aromas. Deep and tannic on the palate, then packed with mocha, chocolate, toasted marshmallow, cassis and cherry cough drop flavors, this is fixed and firm now, with a staunch, intense, nervy finish. Drink from 2015–2028.",,96,90.0,Northern Spain,Ribera del Duero,Astrales 2010  Ribera del Duero,Tinto Fino,Astrales
Spain,"Grassy and pungent, with lime, citrus and white pepper on the nose. Tangy and simple across the palate, with basic pineapple and passion fruit flavors. Good but thins out on the finish, leaving leftover acidity.",,86,15.0,Northern Spain,Rueda,Mania 2008 Verdejo (Rueda),Verdejo,Mania
Spain,"Blackberry aromas are touched up by graphite, char and herbal accents. This feels wide, with wall-to-wall tannins and extracted flavors of loam and earthy plum and blackberry. A lead-pencil note is reprised on the finish, which is tannic in feel and loaded with herbal black-fruit character.",,91,70.0,Northern Spain,Rioja,Teós 2008  Rioja,Tempranillo,Teós
Spain,"Earthy and a touch gritty smelling on first take, this gets riper, cleaner and better the longer it catches air. A full slightly tannic palate is mildly abrasive, while tea, herbal berry and chocolaty oak flavors are appealing. A spicy peppery chocolaty finish is not shedding its drying tannins. Drink through 2022.",Familia Comenge Reserva,90,24.0,Northern Spain,Ribera del Duero,Comenge 2011 Familia Comenge Reserva  (Ribera del Duero),Tempranillo,Comenge
Spain,"For a tight, snappy rendition of Rioja, this answers the call. Herbal plum and tomato aromas are earthy and a touch horsey. Tomato, plum and herbal flavors amount to a saucy whole, while this is fresh, herbal and brothy tasting on a crisp finish.",Gran Reserva,90,33.0,Northern Spain,Rioja,CVNE 2010 Gran Reserva  (Rioja),Tempranillo,CVNE
Spain,"Cool rooty aromas of cola and tree bark grace the nose on this ripe but still not fully mature Cabernet Sauvignon (with 5% Merlot). In the mouth, this is choppy due to sandpaper tannins. Flavors of sarsaparilla, pepper, and blackberry are dense and chewy, while the finish is bumpy and scraping due to aforementioned hard tannins. Drink or hold through 2022.",Altar,90,45.0,Northern Spain,Navarra,Otazu 2006 Altar Red (Navarra),Red Blend,Otazu
Spain,"Aromas of cherry, plum, forest floor and tobacco feed into a clampy palate with fresh acidity. Lightly spiced currant and red-plum flavors are limited in scope but nice, while this tastes herbal and feels tight and racy on the finish.",Edición Limitada,90,25.0,Northern Spain,Navarra,Príncipe de Viana 2013 Edición Limitada Red (Navarra),Red Blend,Príncipe de Viana
Spain,"Here's a subdued wine with mild vanilla, tobacco, dried plum and raspberry aromas. It's flush and fruity on the palate, with an open-knit feel and friendly flavors of raspberry, vanilla and tobacco. On the finish, mocha, pastry and toast elements enter the picture. Drink now through 2015.",Reserva,88,17.0,Northern Spain,Rioja,Criadores de Rioja 2007 Reserva  (Rioja),Tempranillo Blend,Criadores de Rioja
Spain,"Dusty apple and white peach aromas provide a nice greeting. The wine is basic and tangy in terms of feel, with lemon-lime, bitter lettuce, banana, nectarine and pineapple flavors. While not exactly complex or elevated, it delivers pure citrus characteristics offset by solid minerality.",,88,24.0,Northern Spain,Bierzo,Abad Dom Bueno 2011 Godello (Bierzo),Godello,Abad Dom Bueno
Spain,"A clear color and agile, minerally aromas of pear and apple announce that this is mild and not too pushy. Elegant and fresh on the palate, this Verdejo tastes of orange, grapefruit and mango, while the finish is lasting and focused.",,89,,Northern Spain,Rueda,Campo Alegre 2013 Verdejo (Rueda),Verdejo,Campo Alegre
Spain,"Clean, fresh and uncomplicated is the best way to describe the nose on this crisp, citrusy Cava. Flavors of green apple, white grapes and citrus fruits finish with ease and clarity.",Hoya de Cadenas Brut,88,16.0,Catalonia,Cava,Vicente Gandia NV Hoya de Cadenas Brut Sparkling (Cava),Sparkling Blend,Vicente Gandia
Spain,"An elegant Rioja made in a more traditional style. The nose is a little baked and raisiny, with additional aromas of caramel and leather. The palate is where this wine shines: the feel is elegant and smooth, while the cherry and raspberry flavors are subtle and a little bit tangy. Mature and sexy stuff; more classic than modern, but not 100% old-school.",Castillo Ygay Gran Reserva Especial,90,54.0,Northern Spain,Rioja,Marqués de Murrieta 2000 Castillo Ygay Gran Reserva Especial  (Rioja),Tempranillo Blend,Marqués de Murrieta
Spain,"Questionable value at $70, but this is very good and rather unique white Rioja. Remelluri uses a multitude of common and unheard-of grapes, and they hit it with a lot of oak. Still, amid the oily richness there's balance, acidity and excellent layering of grass, spice, apple, banana and lemon flavors. Big at 14.5%, but it will go really well with baked fish or lobster.",Blanco,90,71.0,Northern Spain,Rioja,Remelluri 2006 Blanco White (Rioja),White Blend,Remelluri
Spain,"Wiry cherry and berry aromas are a bit medicinal and soapy. This is named after the grape, region and town, all called Cariñena. It's a pinched wine with raw rubbery tannins and salty flavors of plum and berry fruits. A crisp tough finish is the close.",3C,85,10.0,Northern Spain,Cariñena,Grandes Vinos y Viñedos 2015 3C Cariñena (Cariñena),Carineña,Grandes Vinos y Viñedos
Spain,"Stalky, slightly green aromas blend with generic berry scents to form a marginal bouquet. This is tannic and rough on the palate, with buttery oak flavors along with candied berry fruit notes.",Rojo Granrojo,82,11.0,Central Spain,Vino de la Tierra de Castilla,Bodegas Navarro López 2011 Rojo Granrojo Tempranillo-Garnacha (Vino de la Tierra de Castilla),Tempranillo-Garnacha,Bodegas Navarro López
Spain,"Lush, composed and fresh on the bouquet, with blackberry and perfect prune aromas. This is mouthfilling and smooth, with a firm, flush tannic structure and flavors of coconut, lemon rind, herbal black fruit and red berry. It's long and supple late, and it's arguably one of the best Cabernet Sauvignons you'll find from Spain and Navarra.",La Viña de Mi Madre Reserva,92,50.0,Northern Spain,Navarra,Finca Albret 2007 La Viña de Mi Madre Reserva Red (Navarra),Red Blend,Finca Albret
Spain,"This heavily oaked Garnacha smells largely of campfire and char. A drawing, chunky palate is bold and deep, with flavors of hickory, char and blackberry. With such forceful oak, this finishes woody, meaty and with pushy flavors of clove and mint.",Centenaria,87,16.0,Northern Spain,Campo de Borja,Coto de Hayas 2013 Centenaria Garnacha (Campo de Borja),Garnacha,Coto de Hayas
Spain,"Earthy cherry aromas are oaky, with notes of raisin and compost. This feels round and rugged, with hard tannins that create a scraping mouthfeel. Herbal plum and chocolate flavors finish savory, with chewy, rough tannins carrying on until the end point.",Glorioso Crianza,87,14.0,Northern Spain,Rioja,Bodegas Palacio 2013 Glorioso Crianza  (Rioja),Tempranillo,Bodegas Palacio
Spain,"Mango and melon blend with crushed vitamin on the nose of this Viura-Malvasia-Garnacha Blanca blend. This feels wide and fairly full, with modest acidity. Resiny flavors of sawdust shade apple and vanilla notes, while this is oaky and nonaggressive on the finish.",Organza,90,28.0,Northern Spain,Rioja,Sierra Cantabria 2014 Organza White (Rioja),White Blend,Sierra Cantabria
Spain,"A typically reserved Navarran wine is what this is. The nose offers dry red fruit, spice and not much else. The palate is mildly citric and herbal, but there's enough cherry and leather to carry things to a medium-length   finish of dill, vanilla and spice. A nice and simple food wine.",Crianza,85,13.0,Northern Spain,Navarra,Señorío de Sarria 2004 Crianza Red (Navarra),Red Blend,Señorío de Sarria
Spain,"A little creamy, waxy and scattershot, but also far more exotic and different than most $8 wines. This is barrel-fermented Viura, but the oak level is light and manageable. Flavors of papaya, melon and citrus are almost tropical in scope, and the finish is pretty fresh. Drink right away for maximum freshness.",Conde de Valdemar,85,8.0,Northern Spain,Rioja,Bodegas Valdemar 2007 Conde de Valdemar Viura (Rioja),Viura,Bodegas Valdemar
Spain,"This is intense in both color and aromatics. Potent scents of black fruit, animal hide, graphite and bold oak are at the fore. It feels pure, lush and well built, with dark flavors of blackberry, chocolate, toast and spice. Coffee and pepper are the prime finishing flavors; drink now through 2015.",Viñedos Viejos,92,30.0,Northern Spain,Bierzo,Peique 2007 Viñedos Viejos Mencía (Bierzo),Mencía,Peique
Spain,"This has an opaque purple color, with a supremely concentrated and potent dark-fruited bouquet. Feels amped up, warm and exotic, with black fruit flavors alongside notes of peppery spice and bitter chocolate. Toasty and chocolaty on the finish. Drink now through 2016.",Almirez,92,28.0,Northern Spain,Toro,Teso La Monja 2009 Almirez  (Toro),Tinta de Toro,Teso La Monja
Spain,"Oaky and superconcentrated, with shoe polish and other dark aromas forming a cap on the bouquet. Airing reveals a rugged, fully oaked and tannic wine, with baked berry, baking spice, raisin, syrup and chocolate flavors all wrapped up in a chewy, chunky frame. Sweet, rich and saturated stuff. Drink now or hold through 2017.",VS,92,100.0,Northern Spain,Ribera del Duero,Alidis 2005 VS  (Ribera del Duero),Tempranillo,Alidis
Spain,"Chunky obtuse aromas of berry fruits are a bit damp and volatile. This is heavy and severely tannic, while blackened berry and prune flavors come across a bit stewed. A drawing tannic finish brings this to a close.",Crianza,87,28.0,Northern Spain,Ribera del Duero,Alidis 2014 Crianza  (Ribera del Duero),Tempranillo,Alidis
Spain,"Robust black-fruit aromas of berry and cassis come with a mild animal note and leathery scents. This is jammy and a bit loud in terms of mouthfeel, while flavors of raisin, berry and chocolate finish meaty and loamy. Drink  through 2017.",,90,40.0,Northern Spain,Toro,Campo Alegre 2011  Toro,Tinta de Toro,Campo Alegre
Spain,"As is normal for Embruix, the nose is generous and jammy, with extracted flavors of grapy black fruits and earth. The palate is smooth and jammy, with easy tannins and ripe flavors of plum and cassis. The finish is loamy, plump and soft. Drink through 2017.",Embruix,90,25.0,Catalonia,Priorat,Vall Llach 2011 Embruix Red (Priorat),Red Blend,Vall Llach
Spain,"An oaky style of Priorat, this smells of hickory and campfire, with bacon, plum and cherry notes. Solid but narrow in the mouth, with berry and cherry flavors mixed with hard spice and chocolate notes. It has just enough acidity to stay fresh, turning slightly fiery on the finish.",,87,15.0,Catalonia,Priorat,Bodegas La Cartuja 2009 Red (Priorat),Red Blend,Bodegas La Cartuja
Spain,"Black-fruit aromas are forceful, toasty and gritty. It feels solid, fruity and full bodied, with black fruit flavors that come across ripe and generous. It's oaky but not overly so.",LZ,87,18.0,Northern Spain,Rioja,Telmo Rodríguez 2010 LZ  (Rioja),Tempranillo Blend,Telmo Rodríguez
Spain,"Freixenet's signature Cava is consistent and pure as usual, with aromas of white fruit and white pepper and an overall freshness on the nose. It feels crisp and focused, with a foamy palate that brings apple, lime, peach and spice flavors. The finish is smooth.",Cordon Negro Brut 150 años,87,12.0,Catalonia,Cava,Freixenet NV Cordon Negro Brut 150 años Sparkling (Cava),Sparkling Blend,Freixenet
Spain,"The nectarine and mild vanilla aromas are subdued yet solid. On the palate, it's all about stone fruit flavors, such as peach and nectarine, with apple and cider notes on the balanced and healthy finish.",Brut Reserva,87,15.0,Catalonia,Cava,Mont Marçal 2008 Brut Reserva Sparkling (Cava),Sparkling Blend,Mont Marçal
Spain,"This aromatic Priorat is 72% Carignan and the rest Garnacha. Aromas of floral bath soap, cinnamon and cedar accent plum and berry scents. In the mouth, this is built like a tank. Spicy chocolaty black-plum and cassis flavors finish chewy and thick, with notes of mint and licorice. Drink through 2021.",Porrera Vi de Vila,92,65.0,Catalonia,Priorat,Vall Llach 2013 Porrera Vi de Vila Carignan-Grenache (Priorat),Carignan-Grenache,Vall Llach
Spain,"Heady aromas of cola, blackberry and licorice set up a youthful choppy palate with hard tannins and a sense of skins. Blackberry, licorice and charred toasty oak flavors finish dry, spicy and with a strong note of dark chocolate. Drink through 2028.",Perfume de Sonsierra,92,53.0,Northern Spain,Rioja,Sonsierra 2013 Perfume de Sonsierra  (Rioja),Tempranillo,Sonsierra
Spain,"Beronia has blended modern and traditional touches to create a fine gran reserva with spice, vanilla, coconut, tobacco and dried berry aromas. The palate offers ripe tannins and kick, while the flavor profile is earthy, with mocha, coffee, chocolate and dried berry flavors. A long, lightly toasted and chocolaty finish provides a fitting end to an excellent wine. Best from 2015–2022.",Gran Reserva,92,33.0,Northern Spain,Rioja,Beronia 2006 Gran Reserva  (Rioja),Tempranillo,Beronia
Spain,"Ripe, easy aromas of dried cherry, raisin and cedary spice are not unfamiliar for aged, traditional Rioja like this. The palate is fresh in feel, with a touch of oak resin impacting the mouthfeel. Common flavors of cherry, plum and spice finish with cocoa, dill, vanilla and tomato notes. This is a classic Gran Reserva to drink through 2024.",Rioja Bordón Gran Reserva,91,24.0,Northern Spain,Rioja,Bodegas Franco-Españolas 2006 Rioja Bordón Gran Reserva  (Rioja),Tempranillo Blend,Bodegas Franco-Españolas
Spain,"Pungent and pure up front, this 12-year-old Palo Cortado smells nutty and like toffee, with notes of orange peel and apricot. The palate reflects the bouquet, meaning it's clean and exact, with buttery flavors of dried nuts and not too much salt. This runs smooth on the finish and would be ideal in a savory soup or with sautéed mushrooms.",Leonor Palo Cortado 12 Años,91,26.0,Andalucia,Jerez,González Byass NV Leonor Palo Cortado 12 Años Palomino (Jerez),Palomino,González Byass
Spain,"Savory black-olive aromas lend some funk to the nose of this tight pointy massively tannic Tempranillo. Flavors of olive, black fruits and chocolate finish with hard drying tannins and flavors of black coffee, additional chocolate and peppery spice. Drink from 2018–2030.",Reserva,91,55.0,Northern Spain,Ribera del Duero,Val Sotillo 2011 Reserva  (Ribera del Duero),Tempranillo,Val Sotillo
Spain,"Floral, sweet and not the least bit complicated or strained. This is easygoing red wine for easy times. It's a bit candied and baked, but that's Garnacha from Central Spain. Decently balanced and sturdy, especially given the price tag.",,85,6.0,Northern Spain,Campo de Borja,Viña Borgia 2008 Grenache (Campo de Borja),Grenache,Viña Borgia
Spain,"Medicinal black fruit aromas are a little burnt and brambly, while the palate is snappy, acidic and tannic, with tomato, raspberry and oak-driven creaminess. Finishes dry, with a lasting flavor of vanilla that tempers overriding acidity.",Bajoz Crianza,85,13.0,Northern Spain,Toro,Pagos del Rey 2005 Bajoz Crianza  (Toro),Tempranillo,Pagos del Rey
Spain,"Neutral for the most part, with a slight citric pungency. Tastes like apple, spice and dried papaya, and the feel is round as opposed to zesty or angular. Lasting on the back end, with a final note of grapefruit.",,85,13.0,Northern Spain,Rueda,Emina 2008 Verdejo-Viura (Rueda),Verdejo-Viura,Emina
Spain,"Aromas of oak, asphalt, and ripe black fruits make for a lusty, modern nose. The feel is jammy and thick. Flavors of blackberry, chocolate and mocha give way to a strong oak component. A dense finish runs minty and chocolaty, with an emphasis on syrupy richness. Drink through 2021.",Old Vines,90,20.0,Northern Spain,Toro,Tritón 2014 Old Vines  (Toro),Tinta de Toro,Tritón
Spain,"One sniff is all it takes to announce that this was barrel fermented; wood, toast and spicy white-fruit aromas are draped all over the bouquet. This feels round and healthy, with modest flavors of resin, salt, apple and nectarine. Saline stays present on the finish, which is fresh but resiny in flavor.",Fermentado en Barrica,87,30.0,Northern Spain,Rueda,Viña Mayor 2011 Fermentado en Barrica Verdejo (Rueda),Verdejo,Viña Mayor
Spain,"Cherry and berry aromas are earthy, ripe and blocky. This feels round, complete and easy to drink. Flavors of loamy berry and black plum finish dusty and earthy, with just enough acidity to create length and modest complexity. This is 60% Garnacha and 40% Tempranillo.",Crianza,87,11.0,Northern Spain,Campo de Borja,Coto de Hayas 2009 Crianza Tempranillo-Garnacha (Campo de Borja),Tempranillo-Garnacha,Coto de Hayas
Spain,"There's a wheaty, stalky quality to the nose, then citrus flavors, zesty acidity and finally another wave of stalky character to the palate. Orange and tangerine flavors drive the finish, which has more than enough acidity to not break down.",,87,14.0,Galicia,Rías Baixas,Fulget 2012 Albariño (Rías Baixas),Albariño,Fulget
Spain,"This opens with a bouquet that's packed with bold berry fruit aromas, plus a mineral accent. It feels zesty, solid and slightly clampy, with plum and cherry flavors that lead to a tight, juicy finish, with modest length and power",,87,12.0,Northern Spain,Navarra,Ochoa 2010 Tempranillo-Garnacha (Navarra),Tempranillo-Garnacha,Ochoa
Spain,"This is as basic as Albariño gets, with aromas of sweet apple and pear. It feels round and a bit soft, with fleshy peach and dry melon flavors. The finish is pithy, with a white pepper note and an indication that the wine is starting to fade. Drink immediately.",,87,13.0,Galicia,Rías Baixas,Nora 2011 Albariño (Rías Baixas),Albariño,Nora
Spain,"Varietally correct on the nose, this has green apple, grapefruit and floral aromas. It feels basic, tangy and linear, with notes of melon, citrus and a dry, crisp finish that's mildly briny and a touch bitter.",,87,13.0,Northern Spain,Rueda,Legaris 2011 Verdejo (Rueda),Verdejo,Legaris
Spain,"Grassy white-fruit aromas are basic. This feels soft and easy, with mild acidity. Basic white-fruit flavors are undistinguished and are mellow on the finish. Everything about this brut strikes as good but standard.",Brut,87,17.0,Catalonia,Cava,Mistinguett NV Brut Sparkling (Cava),Sparkling Blend,Mistinguett
Spain,"Dusty, minerally white-fruit aromas are generic but appealing. This blend of Viura, Malvasia and Garnacha Blanca has a chunky palate with modest acidity. Green-melon flavors are round but flatten out and turn slightly bitter in front of a basic finish.",La Bastid,87,30.0,Northern Spain,Rioja,Olivier Rivière 2016 La Bastid White (Rioja),White Blend,Olivier Rivière
Spain,"Green apple, citrus and distant celery aromas feed into a fresh, peppy, citrusy palate with tangerine, lime and pink grapefruit flavors. The finish is citrusy like the palate, meaning it's bright, juicy and dry.",Brut,88,14.0,Catalonia,Cava,Biutiful NV Brut Sparkling (Cava),Sparkling Blend,Biutiful
Spain,"Fully oaked, candied aromas of maple, vanilla, wood grain and black fruits dominate the nose. The mouthfeel is ruled by sharp acidity and firm tannins, while flavors of chocolaty oak, herbal red fruits and spice exhibit sour tendencies. A layered but tannic finish suggests campfire. Overall, this is muscled up but low on elegance.",,87,23.0,Northern Spain,Rioja,6cepas6 2012  Rioja,Tempranillo,6cepas6
Spain,"Aromas of lime and pine give way to a tangy, angular palate. Dry apricot and citrus flavors are lively but very familiar for this variety. A modest, lightly pithy tasting finish feels juicy and fresh.",,87,17.0,Galicia,Rías Baixas,Lagar de Indra 2015 Albariño (Rías Baixas),Albariño,Lagar de Indra
Spain,"Melon and almond skin aromas lead to pithy citrus on what amounts to a pretty good bouquet. Round, citrusy and fresh in the mouth, with orange, passion fruit and tropical leanings. Solid and well shaped for a $7 quaffer. 70% Airen and 30% Macabeo.",Protocolo Blanco,86,7.0,Central Spain,Vino de la Tierra de Castilla,Dominio de Eguren 2010 Protocolo Blanco White (Vino de la Tierra de Castilla),White Blend,Dominio de Eguren
Spain,"Drawn and leathery on the nose, and then as it opens it reveals citrusy red fruit aromas. The palate is lean and tight, with light cherry, raspberry and plum flavors. Toasty, dry and a bit buttery tasting on the finish.",Hacienda Abascal Crianza,86,23.0,Northern Spain,Ribera del Duero,Marqués de la Concordia 2008 Hacienda Abascal Crianza  (Ribera del Duero),Tempranillo,Marqués de la Concordia
Spain,"Dry, spicy, woody, earthy berry aromas are common for Rioja. This is bouncy and full of tomato-like acidity, while favors of tobacco, reedy berry fruits and spice are a touch green in the middle. On the finish, this is rough but true to the vintage, which was notoriously cold, wet and difficult.",Javier San Pedro Reserva,88,24.0,Northern Spain,Rioja,Vallobera 2008 Javier San Pedro Reserva  (Rioja),Tempranillo,Vallobera
Spain,"Big, roasted, stalky berry aromas are more saucy than bright and focused. This is a bulky, thick warm-vintage wine without a lot of acidic cut. Flavors of loamy, baked berry and fig finish soft, spicy and baked. Drink now.",,88,24.0,Northern Spain,Ribera del Duero,Comenge 2009  Ribera del Duero,Tempranillo,Comenge
Spain,"Initially this smells horsey and a bit green, but with airing it improves. In the mouth, hard tannins and aggressiveness rule the show. Flavors of baked, meaty, toasty berry fruits finish smoky, chocolaty and savory, with a pinch of green herbs.",Crianza,88,20.0,Northern Spain,Toro,Damalisco 2009 Crianza  (Toro),Tinta de Toro,Damalisco
Spain,"There's a lot of funk and animal hide on the nose of this earthy Toro. The palate is so concentrated it's like syrup, while flavors of leafy, earthy berry fruits are accented by chocolate and pepper. This finishes toasty, oaky and spicy, but also heavy and sticky.",,88,28.0,Northern Spain,Toro,Elias Mora 2011  Toro,Tinta de Toro,Elias Mora
Spain,"Serious wine for serious Ribera lovers, even if it's from a generally weak vintage. Smells of bacon grease, graphite and dark berry fruits. Feels tight and youthfully tannic, with hickory, smoked meat, clove, toast and blackberry flavors. Clove and spice rest heavily on the woody finish; needs time to evolve and absorb its oak treatment. Best from 2013–2018.",Malleolus de Valderramiro,92,212.0,Northern Spain,Ribera del Duero,Emilio Moro 2008 Malleolus de Valderramiro  (Ribera del Duero),Tinto Fino,Emilio Moro
Spain,"Smoky plum and red-berry aromas come with a hint of latex. This is full in feel and generally well balanced, with dark plum and berry flavors that are earthy but not overly complex. It delivers a steady finish.",Tinto Roble,87,20.0,Northern Spain,Toro,Rejadorada 2012 Tinto Roble  (Toro),Tinta de Toro,Rejadorada
Spain,"White-fruit and melon aromas are widespread and mellow. This is chalky feeling, with citric acidity in charge. Flavors of apple, nectarine and lime finish clean and typical of the variety and region.",,87,13.0,Northern Spain,Rueda,Condesa Eylo 2013 Verdejo (Rueda),Verdejo,Condesa Eylo
Spain,"Earthy plum and berry aromas bring a floral note. This feels firm, rubbery and tight, with raw tannins and bright acidity. Earthy, rubbery blackberry flavors offer hints of chocolate and fig, while the finish is leathery and a touch salty.",Garnachas Atlánticas,87,14.0,Northern Spain,Navarra,Jardín de Lúculo 2012 Garnachas Atlánticas Garnacha (Navarra),Garnacha,Jardín de Lúculo
Spain,"White-flower and citrus aromas are mild. In the mouth, this is cutting and acidic. Flavors of lemon and pineapple are tart and come in short blasts, while the finish is cleansing and crisp, with a strong sense of minerality.",Bernon,87,18.0,Galicia,Rías Baixas,Bodegas Aquitania 2013 Bernon Albariño (Rías Baixas),Albariño,Bodegas Aquitania
Spain,"Dusty, rubbery cherry aromas are appealing but warm. This hums along on the palate and offers up a welcome fresh side. Plum and mildly medicinal cherry flavors finish solid and sweet like brown sugar.",Gémina,87,12.0,Levante,Jumilla,Bodegas San Isidro 2011 Gémina Monastrell (Jumilla),Monastrell,Bodegas San Isidro
Spain,"Dusty, rubbery berry aromas are peppery and scratchy. This has a round, bouncy mouthfeel and loamy, lightly baked flavors of blackberry and raisin. An earthy, loamy-tasting finish provides a weighty anchor.",Nobleza Dimidium,87,18.0,Northern Spain,Rioja,Casado Morales 2012 Nobleza Dimidium  (Rioja),Tempranillo,Casado Morales
Spain,"Graphite and vanilla aromas are offset by herbal, stemmy notes of hard spice and mint. The palate shows tomatoey acidity and flavors of pie cherry, tart plum, cherry tomato and vanilla. As might be expected given the precedings, the finish is cleansing and high in acid.",Crianza,86,15.0,Northern Spain,Rioja,Viña Bujanda 2010 Crianza  (Rioja),Tempranillo,Viña Bujanda
Spain,"With an electric pink color and candied aromas of watermelon and cherry, this is a spunky rosé that's juicy, lively and pleasant. Flavors of raspberry and plum come and go quickly, and the finish is just acidic and crisp enough.",Rosado,86,12.0,Northern Spain,Navarra,Príncipe de Viana 2012 Rosado Garnacha (Navarra),Garnacha,Príncipe de Viana
Spain,"Leesy, dusty aromas are pithy and lose freshness with airing. This feels full and moderately acidic, with tropical flavors of melon, apple and banana. A sweet-tasting finish is mild in feel and meets expectations for everyday Albariño.",,86,15.0,Galicia,Rías Baixas,Pazo Torrado 2012 Albariño (Rías Baixas),Albariño,Pazo Torrado
Spain,"Compared to Montecastro's higher-end 2009s, this smells stalky and leathery, with herbal shadings accenting familiar black-fruit aromas. The palate feels grabby, while the flavors suggest charred leather, stalky berry and clove. The lasting impression is of a gamy, slightly hot wine that's good but has its weaknesses.",Alconte Crianza,87,32.0,Northern Spain,Ribera del Duero,Montecastro 2009 Alconte Crianza  (Ribera del Duero),Tempranillo,Montecastro
Spain,"Earthy, ripe cherry and berry aromas come with notes of baking spices and tobacco. This is crisp in feel, albeit a touch jagged. Smoky, toasty plum and cherry flavors lead, while this is long, spicy and a tad bit hot on the finish.",Crianza,90,22.0,Northern Spain,Rioja,Eduardo Garrido García 2011 Crianza  (Rioja),Tempranillo Blend,Eduardo Garrido García
Spain,"There's no shortage of ripeness in this single-vineyard, somewhat hot and wild Toro. The nose is all spice, heat and simmering black fruit, and that's backed by a brooding, heaviy concentrated palate. Teetering on the precipice of overripe, this wine needs all the air and patience you can give it to muster elegance to match its power.",Pago la Jara,91,75.0,Northern Spain,Toro,Telmo Rodríguez 2005 Pago la Jara  (Toro),Tinta de Toro,Telmo Rodríguez
Spain,"If you like a traditionally styled Rioja then this will be highly appealing. Aromas of dill, tobacco and dried fruits are enticing, while the palate veers toward subtle fruits, more tobacco and finely intertwined acidity. This is a wonderful wine from an excellent vintage, thus there's absolutely no reason why it shouldn't age gracefully for another decade.",Gran Reserva,91,27.0,Northern Spain,Rioja,Montecillo 2001 Gran Reserva  (Rioja),Tempranillo,Montecillo
Spain,"Lucid yellow in the glass, yet lightly oxidized on the nose. A spacy, unique Viura. There's dry apricot and peach pit flavors, and the mouthfeel and acidity are impeccable. A treat for explorers; eschews all blueprints for modern white wine.",Capellanía,91,26.0,Northern Spain,Rioja,Marqués de Murrieta 2003 Capellanía Viura (Rioja),Viura,Marqués de Murrieta
Spain,"Concentrated berry aromas are basic and hint at sugar beets. This feels jammy and a bit syrupy, while robust berry, beet and chocolate flavors finish a touch heavy and sticky. For the money, this is generous and plenty good.",,86,8.0,Central Spain,Vino de la Tierra de Castilla,Pallas 2012 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Pallas
Spain,"Sweet, floral aromas of plum, candied berry and sugar beet are friendlier than the palate, which is a bit piercing and high in acidity. Cherry and tart plum flavors finish with choppy, bright acids and citric flavors.",,85,11.0,Northern Spain,Navarra,Lurra 2013 Garnacha (Navarra),Garnacha,Lurra
Spain,"Brambly, lightly herbal aromas of berry fruit, sugar beet and a touch of chemical precede a wiry, narrow palate with briary flavors of herbal berry and cassis. A tannic, crimped finish is rugged and houses cherry flavors and heat.",,85,11.0,Northern Spain,Toro,Tierras Guindas 2011  Toro,Tinta de Toro,Tierras Guindas
Spain,"Initial aromas are suggestive of turpentine and alcohol, but with time things improve. This is chunky and low on pulse; flavors of tomato, green herbs and red fruits are marginal, while the finish carries some burn and heat.",Señor de Lesmos Reserva,85,22.0,Northern Spain,Rioja,Casa Juan 2005 Señor de Lesmos Reserva  (Rioja),Tempranillo Blend,Casa Juan
Spain,"Rose and violet aromas sit comfortably with tight, gritty cherry and plum scents. A tight medium-to-full palate is the staging ground for fresh plum and berry flavors that are powerful but not heavy. A long, warming finish maintains the wine's core potency. This is not ready to drink; best from 2019–2028.",Torroja,92,50.0,Catalonia,Priorat,Terroir Al Límit 2015 Torroja Red (Priorat),Red Blend,Terroir Al Límit
Spain,"Like an ugly duckling that's a beautiful swan in waiting, this unique rosé, if you can call it that given its rusty, almost brown color, is something only Terroir Al Limít would bottle. Earthy in aromas, this mix of several Grenache strains tastes of apricot and dried red fruits. It's mildly spicy throughout, with actual tannins from skin contact. Drink this quasi rosé as you would a serious white or red, meaning with good food like a Catalan-style rice dish. And drink now.",Roc d' Aubaga,92,50.0,Catalonia,Priorat,Terroir Al Límit 2016 Roc d' Aubaga Rosé (Priorat),Rosé,Terroir Al Límit
Spain,"Apple and stone-fruit aromas are basic. This wine feels lean and stringy. Tart nectarine, citrus and salty flavors finish light and simple in this Viura with 15% Tempranillo blanco.",Viura-Tempranillo Blanco,85,10.0,Northern Spain,Rioja,Carlos Serres 2016 Viura-Tempranillo Blanco White (Rioja),White Blend,Carlos Serres
Spain,"Heavy oak gives off sawmill aromas, with only touches of apple and stone-fruit scents lurking below the surface. This feels creamy, heavy and striving for balance. With a ton of oak flavor leading the charge, it tastes woody, candied and spicy, but also jumbled and unfamiliar.",Mirando al Sur,85,80.0,Northern Spain,Rioja,Olivier Rivière 2015 Mirando al Sur Viura (Rioja),Viura,Olivier Rivière
Spain,"A heavily oaked nose of berry fruits quickly gets taken over by creamy milk chocolate and clove scents. An overextracted tannic palate holds flavors of burnt wood and blackened spices. On the finish, this wine is so charred and woody that it tastes bitter.",,85,18.0,Northern Spain,Ribera del Duero,Protos 2015  Ribera del Duero,Tinto Fino,Protos
